DESPESA_AQUISICAO_BENS;TERRENOS_HABITACOES;DSC_AUTARQUIA;INFRAESTRUTURAS_BASICAS;ACESSIBILIDADES;ldk;DESPESA_TOTAL;JUROS_ENCARGOS;DESPESA_COM_PESSOAL;CODIGO_PERIODO;EDIFICIOS;DESPESA_CORRENTE;CODIGOINE;TRANSFERENCIAS_OUTRAS_DESPESAS_CAPITAL;TRANSFERENCIAS_CORRENTES;OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL;INVESTIMENTOS_OUTROS_INVESTIMENTOS_BENS_DE_CAPITAL
1317604.02;333333.34;ABRANTES;54353.61;2798.99;T1_1401;4922638.22;24484.73;1575925.77;T1;240385.18;3702752.97;1401;399326.6;784738.45;189687.53;820558.65
1202577.98;481838.01;ÁGUEDA;24267.57;141275.56;T1_0101;5529306.37;750.14;1881056.89;T1;754221.95;3695614.96;0101;85895.23;611229.95;346193.09;1747796.18
416368.05;30394.25;AGUIAR DA BEIRA;56818.5;528609.4;T1_0901;1795956.96;13191.01;444769.56;T1;6710.97;987677.45;0901;130978.53;113348.83;54767.86;677300.98
650488.8;0;ALANDROAL;133055.6;109129.87;T1_0701;2086297.17;95226.12;732016.68;T1;16465.08;1636449.28;0701;101513.08;158717.68;89684.26;348334.81
977668.31;177044.46;ALBERGARIA-A-VELHA;0;104471.28;T1_0102;2497106.29;10743.37;934776.44;T1;29705.97;2053053.94;0102;30697.7;129865.82;102132.94;413354.65
2151581.58;406.7;ALBUFEIRA;0;2173.74;T1_0801;7820930.28;31949.15;4599350.67;T1;6359.1;7426295.92;0801;354788.61;643414.52;30906.21;39845.75
1005678.44;0;ALCÁCER DO SAL;0;22386.07;T1_1501;3412185.4;3100.08;1664019.82;T1;83327.8;3082567.22;1501;54929.34;409768.88;168974.97;274688.84
600726.1;100000;ALCANENA;8885.46;6054.49;T1_1402;2096076.93;73176.89;676386.8;T1;16466.21;1582722.06;1402;233019.97;232432.27;148928.74;280334.9
2268614.53;38580.75;ALCOBAÇA;8730.46;5238.26;T1_1001;5209708.3;4669.66;1511079.73;T1;1400.22;4377392.06;1001;656991.35;593028.14;121375.2;175324.89
414014.35;0;ALCOCHETE;0;1932.49;T1_1502;2281109.76;8006.32;1455895.04;T1;7327.56;2001443.67;1502;260036.94;123527.96;10369.1;19629.15
340487.92;0;ALCOUTIM;0;273.53;T1_0802;1402324.19;4997.57;646580.15;T1;0;1214058.12;0802;50927.9;221992.48;137064.64;137338.17
1295591.73;457820.99;ALENQUER;0;138583.66;T1_1101;5026532.21;28478.61;2149428.52;T1;287469.06;3977179.28;1101;115577.31;503680.42;49901.91;933775.62
506121.8;0;ALFÂNDEGA DA FÉ;21377.82;10021.59;T1_0401;13271037.89;217154.36;607528.89;T1;88394.74;1491288.37;0401;11446250.07;160483.32;213705.3;333499.45
1129549.51;5000;ALIJÓ;74436.76;758699.24;T1_1701;3091818.6;170962.68;662302.3;T1;0;1988354.95;1701;66135.08;25540.46;199192.57;1037328.57
538052.6;0;ALJEZUR;42679.45;27597.7;T1_0803;1686215.9;9298.29;683887.52;T1;1476;1450750.23;0803;144539.26;219511.82;19173.26;90926.41
557193.09;0;ALJUSTREL;41190.88;60939.96;T1_0201;2125639.2;8213.83;809069.24;T1;2169.84;1603201.45;0201;187259.19;228725.29;230877.88;335178.56
2988451.99;0;ALMADA;133855.88;100120.81;T1_1503;13280393.52;160199.8;6615624.4;T1;237928.49;11481458.92;1503;884857.01;1717182.73;442172.41;914077.59
500628.56;0;ALMEIDA;53973.01;101288.75;T1_0902;2058088.58;12339.98;679957.14;T1;207582.2;1438163.44;0902;154564.61;245237.76;102516.57;465360.53
963168.62;282000;ALMEIRIM;6223.8;31713.14;T1_1403;3124952.88;18271.46;1030586.91;T1;15619.09;2359346.12;1403;137772.65;347319.13;292278.08;627834.11
586277.02;27500;ALMODÔVAR;34225.28;135681.28;T1_0202;2454529.51;7425.66;904659.81;T1;46380.18;1797388.21;0202;240618.61;299025.72;172735.95;416522.69
203019.79;0;ALPIARÇA;0;4507.67;T1_1404;1357767.21;61770.02;608405.56;T1;1712.16;963939.28;1404;381285.89;90743.91;6322.21;12542.04
350417.37;3418.07;ALTER DO CHÃO;36389.85;0;T1_1201;1440618.49;6980.79;590097.52;T1;17286.21;1066467.74;1201;44916.27;118972.06;272140.35;329234.48
618984.22;15194.19;ALVAIÁZERE;0;520691.25;T1_1002;2296555.37;7803.05;343304.68;T1;504355.44;1058378.87;1002;46462.97;88286.92;151472.65;1191713.53
175377.17;0;ALVITO;3918.47;65193.13;T1_0203;893199.56;502.23;452013.17;T1;1751.12;752294.59;0203;66176.71;124402.02;3865.54;74728.26
5267659.85;308920.88;AMADORA;289914.44;72080;T1_1115;15180683.63;6965.95;6279711.23;T1;56760;13403718.3;1115;687527.13;1849381.27;361762.88;1089438.2
2110603.31;0;AMARANTE;0;102908.07;T1_1301;5653644.36;44584.95;2026238.31;T1;130406.59;4656325.53;1301;698099.68;474898.96;65904.49;299219.15
699405.94;0;AMARES;13727.52;0;T1_0301;2312504.25;22026.94;847229.04;T1;36487.7;1811613.22;0301;348698.51;242951.3;101977.3;152192.52
1110421.34;0;ANADIA;128938.24;98952.92;T1_0103;2940447.51;19569.51;897726.05;T1;5086.05;2316958.59;0103;246993.3;289241.69;143518.41;376495.62
746327.45;2500;ANGRA DO HEROÍSMO;0;332421.24;T1_4301;3853689.9;8904.16;1097191.14;T1;269675.79;2460844.47;4301;362599.73;608421.72;425648.67;1030245.7
698879.25;3710;ANSIÃO;1855.05;119793.54;T1_1003;2104514.04;55523.2;525353.33;T1;79572.04;1419089.39;1003;320612.47;139333.61;159881.55;364812.18
1095736.33;107500;ARCOS DE VALDEVEZ;108551.53;212248.09;T1_1601;4034036.53;12070.08;1168684.04;T1;206282.5;2554797.74;1601;526316.57;278307.29;318340.1;952922.22
615764.69;0;ARGANIL;11866.07;169692.32;T1_0601;2276153.45;16518.33;777345.46;T1;107779.56;1557039.48;0601;369730.74;147411;60045.28;349383.23
617707.52;15000;ARMAMAR;0;15605.36;T1_1801;2429960.81;50802.54;713443.62;T1;270237.97;1389156.22;1801;562018.44;7202.54;177942.82;478786.15
1244475.15;23043.99;AROUCA;6596.97;143369.88;T1_0104;3010667.98;671.84;800546.11;T1;144839.5;2286536.89;0104;103335.81;240843.79;302944.94;620795.28
563553.52;4657.5;ARRAIOLOS;23947.61;0;T1_0702;1843266.56;13250.18;643968.65;T1;12876.01;1463585.34;0702;255609.25;242812.99;82590.85;124071.97
251649.51;9835.54;ARRONCHES;8009.93;1955;T1_1202;1071716.27;2677.67;397602.57;T1;134924.78;753565.1;1202;92944.25;101635.35;70481.67;225206.92
737121.77;0;ARRUDA DOS VINHOS;12203.18;23255.95;T1_1102;1930347.21;8937.92;846059.22;T1;16213.1;1713259.66;1102;129567.63;121140.75;35847.69;87519.92
3574231.82;549896.57;AVEIRO;28375.14;47024.95;T1_0105;9464764.35;147248.06;2636420.8;T1;247490.8;7331600.06;0105;728066.73;973699.38;532310.1;1405097.56
337099.13;0;AVIS;0;0;T1_1203;1802654.13;19881.64;749848.05;T1;6624.72;1185265.64;1203;162680.79;78436.82;448082.98;454707.7
674391.77;0;AZAMBUJA;8341.49;5093.64;T1_1103;2487926.23;13659.02;1320618.68;T1;3040.08;2281673.96;1103;171522.64;273004.49;18254.42;34729.63
794509.92;0;BAIÃO;29369.74;26688.4;T1_1302;2641443.11;16675.1;1104738.94;T1;0;2193387.31;1302;245614.05;277463.35;146383.61;202441.75
2881615.53;36375;BARCELOS;7303.4;345325.14;T1_0302;8387415.32;0;3129331.6;T1;44781.06;6868891.34;0302;860647.16;857944.21;224092.22;657876.82
86877.07;0;BARRANCOS;0;4870.81;T1_0204;856846.78;9449.94;430737.05;T1;273.8;736486.61;0204;104355.99;209422.55;10859.57;16004.18
2521891.91;7004.89;BARREIRO;117640.59;309620.56;T1_1504;8291413.35;30685.78;3444948.91;T1;42101.17;6893194.06;1504;619609.95;895667.46;302242.13;778609.34
688328.41;0;BATALHA;87306.63;26972.97;T1_1004;1663848.08;3331.05;402590.91;T1;48621.88;1325074.23;1004;116619.88;230823.86;59252.49;222153.97
978696.42;215.87;BEJA;0;29619.19;T1_0205;4087051.84;23236.98;1900380.6;T1;97481.39;3475934.56;0205;383037.75;573620.56;100763.08;228079.53
714943.96;63197.47;BELMONTE;29065.18;66941.09;T1_0501;1497180.66;8797.2;264549.4;T1;11978;1138942.42;0501;136848.27;150651.86;50208.23;221389.97
1174811.17;0;BENAVENTE;0;2458.82;T1_1405;3336867.6;1989.45;1361526.2;T1;0;3134631.96;1405;174174.83;596305.14;25601.99;28060.81
766425.22;0;BOMBARRAL;43746.27;15401.82;T1_1005;1753525.64;24706.66;733883.86;T1;19555.69;1596803.8;1005;66271.15;71788.06;11746.91;90450.69
539648.12;18646.43;BORBA;64481.79;4585.24;T1_0703;1637193.12;34046.38;692489.66;T1;7946.08;1332366.47;0703;150030.63;66182.31;59136.48;154796.02
460828.8;0;BOTICAS;9683.49;41829.54;T1_1702;1451004.95;1883.65;586548.05;T1;0;1177140.63;1702;159413.81;127880.13;62937.48;114450.51
3411093.27;0;BRAGA;0;354307.52;T1_0303;16624224.41;119380.68;5543758.28;T1;339099.58;12253199.95;0303;3214050.38;3178967.72;463566.98;1156974.08
2625386.41;53668.27;BRAGANÇA;0;298197.49;T1_0402;6208066.9;56870.07;1550959.67;T1;180011.67;4546745.33;0402;724722.23;313529.18;404721.91;936599.34
817780.07;0;CABECEIRAS DE BASTO;26808.06;25041.53;T1_0304;2444033.45;31583.28;1080361.44;T1;36022.14;2109881.88;0304;150714.15;180157.09;95565.69;183437.42
662715.15;0;CADAVAL;5080.52;46638.98;T1_1104;1993628.35;5696.32;868972.45;T1;203978.74;1660601.21;1104;64591.1;123217.29;12737.8;268436.04
1524366.02;54000;CALDAS DA RAINHA;0;300294.94;T1_1006;4848868.61;23077.52;1207259.37;T1;222008.54;3222748.49;1006;353358.38;468045.58;696458.26;1272761.74
574686.64;0;CALHETA (MADEIRA);2806.73;307830.37;T1_3101;1930642.69;4152.21;515080.72;T1;541.95;1345898.63;3101;238069.57;251979.06;35495.44;346674.49
129622.18;0;CALHETA (SÃO JORGE);3432.63;748344.1;T1_4501;1525354.86;27473.35;397903.47;T1;0;573637.86;4501;185994.66;18638.86;13945.61;765722.34
353181.56;6427.44;CÂMARA DE LOBOS;465.39;615366.99;T1_3102;2512358.75;8490.19;813319.66;T1;0;1384766.58;3102;292311.23;209775.17;213021.12;835280.94
1211637.53;0;CAMINHA;46153.51;73188.84;T1_1602;3187547.1;18807.67;1223274.18;T1;104276.91;2726422.16;1602;124959.76;272702.78;112545.92;336165.18
669497.57;130132.8;CAMPO MAIOR;800;7302.62;T1_1204;1759433.65;5957.56;731054.16;T1;529.26;1567749.17;1204;34592.31;161239.88;18327.49;157092.17
975755.8;10570.7;CANTANHEDE;6525.57;155666.53;T1_0602;4177712.37;65616.26;1132612.95;T1;194048.86;2695039.48;0602;949790.79;521054.47;166070.44;532882.1
257361.37;32694.82;CARRAZEDA DE ANSIÃES;0;27405.85;T1_0403;1349971.49;1581.96;551072.36;T1;50938.76;960714.87;0403;142653.59;150699.18;135563.6;246603.03
442856.56;2172.19;CARREGAL DO SAL;733.81;216969.48;T1_1802;1399253.08;5544.53;509895.66;T1;0;1036632.4;1802;128124.42;78335.65;14620.78;234496.26
604248.93;7999.98;CARTAXO;2000;4296.53;T1_1406;3921562.33;80859.94;1390060.48;T1;204233.8;2229932.35;1406;513492.97;154763;959606.7;1178137.01
7816468.98;0;CASCAIS;0;510477.68;T1_1105;23262787.01;540250.61;7434042.85;T1;227467.42;20341101.94;1105;1334424.93;4550339.5;849315.04;1587260.14
206719.46;0;CASTANHEIRA DE PÊRA;0;890.6;T1_1007;810611.48;80701.81;312351.01;T1;6883.65;719376.69;1007;75472.52;119604.41;7988.02;15762.27
1804951.12;328216.27;CASTELO BRANCO;77147.12;499697.16;T1_0502;6551743.44;27598.94;1592804.79;T1;479187.93;4315185.77;0502;515184.88;889830.92;337124.31;1721372.79
730842.49;0;CASTELO DE PAIVA;11688.11;19020.56;T1_0106;2013937.84;72464.52;717301.19;T1;1940.72;1751206.15;0106;208828.24;230597.95;21254.06;53903.45
363586.95;50673.03;CASTELO DE VIDE;4178.59;40082.76;T1_1205;1156984.16;1147.06;534023.31;T1;13330;970329.71;1205;46452.28;71572.39;31937.79;140202.17
910469.45;9207.59;CASTRO DAIRE;44030.75;154492.22;T1_1803;3018903.48;5390.03;867723.05;T1;390210.21;2132771.97;1803;110680.72;349189.44;177510.02;775450.79
990866.75;8148.66;CASTRO MARIM;39990.35;371461.66;T1_0804;2504946.93;19839.55;611753.06;T1;0;1901339.36;0804;144581.68;278880;39425.22;459025.89
482620.85;0;CASTRO VERDE;3179.23;15962.5;T1_0206;2296314.49;6058.92;833025.58;T1;17520.89;1617897.87;0206;263123.28;296192.52;378630.72;415293.34
454678.57;0;CELORICO DA BEIRA;0;167161.93;T1_0903;1818440.41;31645.06;755061.13;T1;42479.42;1420249.8;0903;96400.44;178865.04;92148.82;301790.17
758390.43;31579.61;CELORICO DE BASTO;0;14708.72;T1_0305;2909731.37;105400.29;1081393.04;T1;164974.6;2208025.55;0305;333906.26;262841.79;156536.63;367799.56
471878.15;66700;CHAMUSCA;0;0;T1_1407;1478968.53;363.36;688664.52;T1;25634.55;1328180.11;1407;9121.61;167274.08;49332.26;141666.81
1523955.14;24117.13;CHAVES;85539.34;915650.36;T1_1703;7216184.4;221297.53;1980192.32;T1;276287.56;4058612.33;1703;950056.26;333167.34;905921.42;2207515.81
1304950.87;26802.79;CINFÃES;9498.06;180176.73;T1_1804;3577406.99;765.09;902987.88;T1;20982.13;2681727.33;1804;55386.47;473023.49;602833.48;840293.19
3345013.3;232910.33;COIMBRA;24566.18;182434.58;T1_0603;15027838.4;192593.73;5903388.63;T1;111818.64;11282503.75;0603;1914024.25;1841508.09;1279580.67;1831310.4
882206.97;0;CONDEIXA-A-NOVA;6156.26;2949.11;T1_0604;2187820.06;9228.63;782954.46;T1;2832.46;1893512.33;0604;135756.85;219122.27;146613.05;158550.88
281867.97;475.63;CONSTÂNCIA;9529.75;1836.51;T1_1408;1007501.74;2815.86;407807.54;T1;80293.5;790490.68;1408;114883.67;97999.31;9992;102127.39
837010.52;2484.99;CORUCHE;22867.45;213306.81;T1_1409;3004854.54;11255.38;1318867.69;T1;64938.69;2554926.55;1409;53702.71;387792.96;92627.34;396225.28
86744.75;10504.56;CORVO;0;3373.86;T1_4901;284766.98;1288.85;109522.37;T1;0;201427.75;4901;31977.05;3871.78;37483.76;51362.18
1334422.24;89938.38;COVILHÃ;12938.93;108755.37;T1_0503;5921659.69;100770.6;1362095.48;T1;443491.52;3565639.59;0503;1383686.76;768351.27;317209.14;972333.34
371022.94;0;CRATO;82939.23;224153.47;T1_1206;1366570.6;4832.27;500189.42;T1;9388;938887.21;1206;55733.39;62842.58;55469.3;371950
340231.33;0;CUBA;55492.2;8269.79;T1_0207;1103458.9;4729.8;486132.13;T1;0;951024.07;0207;82538.1;119930.81;6134.74;69896.73
1863782;265171.44;ELVAS;2286.25;57086.18;T1_1207;5072516.97;4049.22;1064769.45;T1;10642.53;3966484.7;1207;62226.98;1033884.03;708618.89;1043805.29
658461.06;2542.45;ENTRONCAMENTO;2133.52;29948.99;T1_1410;2700523.29;22131.24;1148360;T1;553258.15;1876494.78;1410;95052.02;47542.48;141093.38;728976.49
2331033.91;0;ESPINHO;23726.78;159832.18;T1_0107;8004708.29;17473.8;2150884.01;T1;1617693.36;4694105.95;0107;739517.82;194714.23;769832.2;2571084.52
824209.19;19731.67;ESPOSENDE;0;32062.53;T1_0306;2643183.21;5133.91;992013.64;T1;15741;2333522.79;0306;167430.47;512166.05;74694.75;142229.95
1058548.89;76757;ESTARREJA;87974.98;31847.37;T1_0108;2864220.04;21843.61;971673.53;T1;11276.05;2294588.38;0108;183795.44;242522.35;177980.82;385836.22
1081882.2;59774.94;ESTREMOZ;119598.89;0;T1_0704;2619301.99;35713.17;806669.23;T1;22077.68;2192528.86;0704;206169.49;268264.26;19152.13;220603.64
1311993.61;300000;ÉVORA;0;19878.62;T1_0705;7943655.92;404788.43;4079788.17;T1;353422.31;6156002.34;0705;1047476.63;359432.13;66876.02;740176.95
1055080.23;0;FAFE;228925.25;86811.4;T1_0307;4959455.13;44579.23;1695293.09;T1;128549.26;3907732.27;0307;507659.61;1112779.72;99777.34;544063.25
2070202.14;0;FARO;0;15809.41;T1_0805;6422879.96;121255.55;3036447.62;T1;4806.85;5366031.06;0805;937781.91;138125.75;98450.73;119066.99
1979863.98;53757;FELGUEIRAS;231881.65;144738.93;T1_1303;6715683.61;5485.62;2369057.91;T1;309164.15;5044015.78;1303;453712.66;689608.27;478413.44;1217955.17
684906.23;0;FERREIRA DO ALENTEJO;2661.6;369;T1_0208;2163606.48;47223.76;955484.15;T1;9444.68;1907200.55;0208;168697.94;219586.41;75232.71;87707.99
592849.75;0;FERREIRA DO ZÊZERE;0;81869.69;T1_1411;1423863.92;18049.18;481098.44;T1;5523.19;1208989.81;1411;101843.12;116992.44;25638.11;113030.99
1791602.42;2030.52;FIGUEIRA DA FOZ;9684.43;385702.44;T1_0605;5645366.52;11707.05;2218930.8;T1;149180.87;4616089.6;0605;234087.33;593849.33;248591.33;795189.59
532709.35;0;FIGUEIRA DE CASTELO RODRIGO;0;0;T1_0904;1644574.1;8590.97;569931.85;T1;79248.76;1266866.27;0904;111850.42;155634.1;186608.65;265857.41
429233.25;73.8;FIGUEIRÓ DOS VINHOS;0;19467.59;T1_1008;1614751.91;44560.58;665960.27;T1;1371.57;1220450.65;1008;307125.83;80696.55;66262.47;87175.43
313592.54;0;FORNOS DE ALGODRES;0;6088.5;T1_0905;1248859.65;172223.7;422983.67;T1;0;914141.24;0905;328629.91;5341.33;0;6088.5
375771.55;56199.54;FREIXO DE ESPADA À CINTA;0;0;T1_0404;1469981.68;76916.22;619104;T1;0;1184472.53;0404;208747.91;112680.76;20561.7;76761.24
395158.5;0;FRONTEIRA;0;0;T1_1208;1025262.29;5390.26;376532.71;T1;0;907879.05;1208;77211.59;130797.58;40171.65;40171.65
4400163.06;67976.35;FUNCHAL;32792.7;37405.44;T1_3103;14017942.69;56467.24;6716800.03;T1;76446.66;11801576.49;3103;924366.03;628146.16;1077379.02;1292000.17
1484501.83;697.53;FUNDÃO;33220.4;103010.96;T1_0504;4758354.1;203215.62;1398548.37;T1;64974.5;3360246.4;0504;781962.6;273980.58;414241.71;616145.1
308289.68;0;GAVIÃO;9261.09;20060;T1_1209;1245765.65;3990.18;476522.7;T1;39787.92;952887.89;1209;129910;164085.33;93858.75;162967.76
333217.89;0;GÓIS;31241.5;38642.31;T1_0606;1605903.53;7827.47;620772.37;T1;12753.29;1259441.75;0606;156545.7;297624.02;107278.98;189916.08
731141.5;19714.76;GOLEGÃ;15396.3;30610.19;T1_1412;1549727.77;6728.36;491929.24;T1;15927.39;1329384.72;1412;37854.2;99585.62;100840.21;182488.85
4556324.95;235355.83;GONDOMAR;0;126572.21;T1_1304;12374657.36;76317.42;5342962.34;T1;80481.13;10987731.86;1304;843518.1;1012127.15;100998.23;543407.4
703160.77;17592.61;GOUVEIA;3991.81;286557.14;T1_0906;2408395.54;8392.51;735485.84;T1;6716.82;1626116.2;0906;198745.59;179077.08;268675.37;583533.75
1017917.68;3117.95;GRÂNDOLA;1419.12;76166.44;T1_1505;3888157.06;59959.86;1964728.5;T1;47811.91;3393259.56;1505;255233.82;350653.52;111148.26;239663.68
2437818.01;6204.15;GUARDA;59425.97;710148.24;T1_0907;10722895.76;400102.5;2098034.15;T1;182949.44;5306067.59;0907;4323065.57;370112.93;135034.8;1093762.6
3616973.91;6250.35;GUIMARÃES;0;263861.69;T1_0308;14788820.1;192473.49;5367136.43;T1;127478.96;10559683.7;0308;2238457.01;1383099.87;1593088.39;1990679.39
470654.57;0;HORTA;105879.49;300854.31;T1_4701;2219579.55;9886.57;716139.09;T1;0;1582883.28;4701;225956.37;386203.05;4006.1;410739.9
1442283.46;0;IDANHA-A-NOVA;1623.6;35315.35;T1_0505;3298879.52;7837.47;1019599.63;T1;15646.36;2762018.27;0505;300572.82;292297.71;183703.12;236288.43
1394729.02;28834.38;ÍLHAVO;8817.4;353373.79;T1_0110;4040076.6;12277.22;1215418.35;T1;14424.03;2716062.65;0110;355811.99;93638.06;562752.36;968201.96
1608273.13;0;LAGOA (ALGARVE);29828.51;25631.96;T1_0806;3805811.46;6534.9;1506990.45;T1;0;3590006.91;0806;146095.21;468208.43;14248.87;69709.34
529957.52;37621.81;LAGOA (SÃO MIGUEL);741.82;66623.91;T1_4201;1934820.4;8019.77;612762.69;T1;78024.9;1433692.06;4201;190893.06;282952.08;127222.84;310235.28
3032371.23;171650.15;LAGOS;71250.13;214180.45;T1_0807;7726163.11;61034.25;2649925.67;T1;34687.78;6497166.38;0807;664457;753835.23;72771.22;564539.73
224258.3;745.44;LAJES DAS FLORES;18470.71;72510.25;T1_4801;745817.28;2084.37;264088.49;T1;10584.36;507679.17;4801;87126.74;17248.01;48700.61;151011.37
157195.62;0;LAJES DO PICO;38663.81;237875.13;T1_4601;1160779.14;24961.68;379768.72;T1;0;623356.95;4601;238014.99;61430.93;22868.26;299407.2
2086762.19;570.85;LAMEGO;32241.42;120231.44;T1_1805;4690916.92;88195.63;1081012.94;T1;420655.49;3707388.79;1805;327570.69;451418.03;82258.24;655957.44
2915081.06;1476;LEIRIA;0;1156984.08;T1_1009;11240439.8;507359.02;2877052.66;T1;563069.99;7686530.79;1009;1401137.73;1387038.05;431241.21;2152771.28
24488982.53;1862220.08;LISBOA;594603.38;1250766.79;T1_1106;124923307.71;1379616.38;50014874.73;T1;2084624.19;102263508.02;1106;8110634.07;26380034.38;8756951.18;14549165.62
5704607.49;58751.28;LOULÉ;277863.24;1590859.95;T1_0808;17383147.37;58368.02;6093808.36;T1;122059.97;12837630.95;0808;1721351.91;980847.08;774630.07;2824164.51
6923683.84;39091.52;LOURES;752.15;39744.53;T1_1107;20335880.52;199098.57;8762714.54;T1;292003.15;18599473.93;1107;1218366.96;2713976.98;146448.28;518039.63
1528920.86;0;LOURINHÃ;2081.59;35153.75;T1_1108;4431021.79;47330.93;1326207.03;T1;636139.72;3346843.39;1108;366202.88;444384.57;44600.46;717975.52
1221547.27;7441.07;LOUSÃ;310221.95;124150.66;T1_0607;3054631.29;11412.89;861976.97;T1;32521.61;2366947.52;0607;64387.6;272010.39;148960.88;623296.17
1841183;74000;LOUSADA;84327.28;44617.3;T1_1305;6364962;55035.68;2275506.62;T1;1114256.49;4527334.84;1305;476866.03;355609.54;43560.06;1360761.13
836883.6;0;MAÇÃO;4123.76;63365.74;T1_1413;2148021.3;7358.15;704006.92;T1;58508.01;1838480.12;1413;115907.36;290231.45;67636.31;193633.82
1336420.2;2467.89;MACEDO DE CAVALEIROS;0;32416.58;T1_0405;2872642.26;6140.68;1095463.77;T1;0;2639106.01;0405;173571.86;201081.36;25079.92;59964.39
327200.63;0;MACHICO;0;77794.56;T1_3104;2036016.43;296760.53;803363.81;T1;0;1445219.68;3104;369444.45;17894.71;143557.74;221352.3
389736.76;0;MADALENA;14499.05;366905.02;T1_4602;1824323.91;1945.69;493399.96;T1;172825.73;950465.23;4602;102374.92;65382.82;217253.96;771483.76
4861124.56;0;MAFRA;239889.63;1024263.69;T1_1109;11282620.85;96219.48;3223174.58;T1;264386.44;9096702.22;1109;317477.23;916183.6;339901.64;1868441.4
3573445.34;101252.35;MAIA;0;601182.59;T1_1306;11482853.72;18938.48;4451765.02;T1;719152.7;8931223.32;1306;446377.7;887074.48;683665.06;2105252.7
1127058.62;15155.93;MANGUALDE;59695.04;189256.89;T1_1806;3079272.41;42292.49;1046527.37;T1;306290.43;2328397.2;1806;161112.31;112518.72;19364.61;589762.9
328689.2;1750;MANTEIGAS;0;1220.69;T1_0908;1099672.31;2792.06;302260.47;T1;154147.34;856746.89;0908;76687.75;223005.16;9119.64;166237.67
1800926.72;5104.5;MARCO DE CANAVESES;361892.68;69877.32;T1_1307;5775371.21;90631.7;1572622.83;T1;141250.28;4311848.72;1307;693408.29;847667.47;191989.42;770114.2
397166.84;0;MARINHA GRANDE;9505.05;114.75;T1_1010;1907249.93;4254.46;1168268.15;T1;144.4;1745922.42;1010;90523.08;176232.97;61040.23;70804.43
304862.57;59728.36;MARVÃO;74679.46;19620.63;T1_1210;1039878.95;1867.1;380176.71;T1;1938.64;798994.92;1210;64367.91;112088.54;20549.03;176516.12
3083745;989994.05;MATOSINHOS;105055.6;144156.1;T1_1308;15835093.37;154613.26;6901161.64;T1;372305.85;12530443.52;1308;1567209.47;2390923.62;125928.78;1737440.38
714801.59;0;MEALHADA;194.74;10233.61;T1_0111;2199903.17;0;1059618.86;T1;268626.15;1916203.01;0111;0;141782.56;4645.66;283700.16
232193.23;3015.5;MEDA;13871.58;370548.61;T1_0909;1515589.81;58254.58;676972.03;T1;0;1044329.37;0909;73706.77;76909.53;10117.98;397553.67
586233.62;1710.81;MELGAÇO;5179.73;163130.56;T1_1603;2529569.16;7545.35;1115129.96;T1;15242.25;1819274.68;1603;192282.3;110365.75;332748.83;518012.18
728650.75;34081.32;MÉRTOLA;82106.92;92627.31;T1_0209;3133712.03;11176.3;1053455.41;T1;124453.5;2121812.56;0209;424696.18;328530.1;253934.24;587203.29
245439.2;0;MESÃO FRIO;75122.62;14777.82;T1_1704;1310490.73;31242.01;538834.39;T1;5957.47;863355.25;1704;189088.09;47839.65;162189.48;258047.39
882266.59;0;MIRA;12680.8;45553.7;T1_0608;2075514.71;1722.11;856149.16;T1;16404.26;1800713.71;0608;58282.41;60575.85;141879.83;216518.59
587854.51;0;MIRANDA DO CORVO;5800;1167.02;T1_0609;1585524.7;8556;649870.15;T1;4600.2;1383702.6;0609;123960.55;137421.94;66294.33;77861.55
828406.63;0;MIRANDA DO DOURO;13731.24;104918.17;T1_0406;1963254.97;61792.91;696033.7;T1;52548.04;1674880.92;0406;81276.61;88647.68;35899.99;207097.44
1604880.13;10000;MIRANDELA;59318.88;47294.11;T1_0407;5280616.84;288333.51;1449245.34;T1;851663.81;3782755.25;0407;405025.84;440296.27;124558.95;1092835.75
1106324.38;0;MOGADOURO;23613.01;134828.86;T1_0408;3690854.98;7876.93;617362.03;T1;0;1993344.58;0408;361143.56;261781.24;1177924.97;1336366.84
694051.03;35668.59;MOIMENTA DA BEIRA;45012.02;312351.74;T1_1807;2282309.51;47415.17;655323.89;T1;3155.77;1598485.78;1807;109243.3;201695.69;178392.31;574580.43
1572970.45;382.25;MOITA;59819.01;223808.2;T1_1506;6386704.38;10439.85;3235262.86;T1;34227.91;5471698.18;1506;405356.18;653025.02;191412.65;509650.02
819874.88;1204.95;MONÇÃO;32123.31;76286.48;T1_1604;2969821.23;27998.11;955036.24;T1;21503.62;1995224.4;1604;666344.97;192315.17;177133.5;308251.86
384504.76;0;MONCHIQUE;221761.96;102494.53;T1_0809;2256801.78;4342.48;820962.48;T1;723.24;1430237.71;0809;390804.09;220427.99;110780.25;435759.98
309750.65;0;MONDIM DE BASTO;933.75;50764.61;T1_1705;1485309.59;39982.45;631019.07;T1;10017;1146181.9;1705;269321.92;165429.73;8090.41;69805.77
353307.31;0;MONFORTE;0;77217.6;T1_1211;1636787.97;8711.69;559445.99;T1;16214.99;1080859.94;1211;453863.78;159394.95;8631.66;102064.25
835471.79;137182.99;MONTALEGRE;35119.34;93765.39;T1_1706;3112185.07;4074.66;1006143.38;T1;346622.23;2192245.99;1706;231643.88;346556.16;75605.25;688295.2
